,Binary Race Variable,Coordinated Entry,Day Shelter,Emergency Shelter,Homelessness Prevention,Other,PH - Housing Only,PH - Housing with Services (no disability required for entry),PH - Permanent Supportive Housing (disability required for entry),PH - Rapid Re-Housing,Safe Haven,Services Only,Street Outreach,Transitional Housing,Year
0,White,0.6694233652928614,0.5840855697741908,0.592827626399166,0.3926532906685116,0.680965147453083,1.361930294906166,0.5862221704161322,0.5143185602041422,0.38530360537183683,0.9533512064343161,0.5264355145506012,0.5003777050345858,0.6112509553212913,2020
1,"Black, African American, or African",4.712035995500561,6.381716678297277,5.612591417263957,6.4085660580021475,4.538461538461538,4.2142857142857135,5.563334682314852,7.061636649763945,9.100719767386432,4.495238095238094,6.09855042770066,4.3877620067988845,5.966966731898238,2020
2,Multi-Racial,0.8364820481149817,0.7499999999999999,0.7190350514460848,1.0739695087521173,1.5908330545332883,0.0,0.9087434304825608,1.0129061835762212,1.074039677613556,0.25877551020408157,0.9075567388186325,0.588722636389979,0.7251580733048886,2020
3,"American Indian, Alaska Native, or Indigenous",1.7123560815591428,1.6603626943005176,1.5581847423257114,0.9477965099083111,1.0835164835164834,0.0,1.6111111111111105,1.0951442337776107,1.5917824696907346,1.903474903474903,1.3737856631557415,1.3226625685373063,1.1294055451127818,2020
4,Native Hawaiian or Pacific Islander,2.21380846325167,2.0803861267725954,1.7963662180914577,2.403454231433506,0.0,0.0,3.0545914678235717,2.35527850685331,1.7045388207822534,0.0,1.8971149578339992,1.646934779334237,1.761690524880709,2020
5,Asian or Asian American,0.11776636019469983,0.11647266863059738,0.119113135983801,0.17209897795677967,0.21099806201550392,0.0,0.13195970002272556,0.13212895352246154,0.11305293827312302,0.09002583979328167,0.11756656013722157,0.10741719520789289,0.11109729303983751,2020
6,White,0.5827794750296152,0.58497574929756,0.5845849402252533,0.4808711230829828,0.6513579671290358,0.6696908900449193,0.6097377584666113,0.5150142972059576,0.3851791278064736,1.5078513979318267,0.5329485716685682,0.6465737934370385,0.682613973475972,2021
7,"Black, African American, or African",5.663399108847866,6.355617908991093,5.347618485211493,5.383100051840331,4.862637362637362,5.0327122153209105,5.70578043786423,7.0166558180495455,8.264733107065718,2.5541125541125536,5.963584469268244,4.522604927349337,5.23336853220697,2021
8,Multi-Racial,0.8877276471126566,0.6950410162459073,0.6976555065645057,1.0278216375503448,1.5651744568795258,0.9069235170703793,0.7989638393951061,0.9638539563620442,1.029276876717875,0.17175365721509842,0.9805246878222016,0.6336140814756804,0.6047412733269459,2021
9,"American Indian, Alaska Native, or Indigenous",1.6835788857449505,1.8834765998089775,1.820311678755387,0.6141215106732347,1.0670995670995669,1.4438659290595506,1.2397317686504608,1.261771747805267,1.1409636019356195,1.2576530612244896,1.531984697856957,1.7625066653739878,1.5960327270586847,2021
10,Native Hawaiian or Pacific Islander,2.2724755280783104,1.7651728820641384,2.7636280765724703,2.1763535031847137,0.0,2.248868778280543,2.3528265107212474,2.482135996926623,2.901075268817204,1.4660766961651917,2.0340287913912025,1.8438214783821478,2.232339730502246,2021
11,Asian or Asian American,0.1331885541592375,0.11173419832499495,0.11764460454650241,0.13807090505585498,0.20775193798449615,0.09165526675786594,0.14776968652937647,0.13955135490459442,0.11697054377859117,0.05975166357961173,0.12779141116624762,0.10902128441874157,0.12185614081945427,2021
12,White,0.5395219378078379,0.5827490204165806,0.5828201212653732,0.47722731109125216,0.6513579671290358,0.668695505156631,0.5971774894890571,0.5147756430707563,0.36906240641872307,0.933581250540517,0.5323083135476913,0.6070275635819558,0.6721858882650669,2022
13,"Black, African American, or African",5.784041607861585,6.183349027862404,5.402956375435644,6.1702247719364225,4.862637362637362,5.034962406015036,5.625135427952328,7.026282696177061,8.732925235573283,3.7263157894736834,5.764304963426633,4.762581493766441,5.4703658797517996,2022
14,Multi-Racial,0.9192538988632044,0.6222204296738457,0.73321357254651,0.8595462341957416,1.5651744568795258,0.841157181688743,0.8732025917327882,0.9818098257579794,0.9762267331982757,0.5152609716452953,1.006697875520103,0.7503399155090793,0.5801353149955634,2022
15,"American Indian, Alaska Native, or Indigenous",2.1757053590234796,2.32182103610675,2.167032967032967,1.1031396405845744,1.0670995670995669,1.8302643302643302,1.281578636417346,1.3149638336347196,1.21565690318715,1.8697850821744622,1.9763943809669458,2.1172161172161172,1.7131274131274128,2022
16,Native Hawaiian or Pacific Islander,2.58979502432501,2.3595166163141994,2.9775183744055345,1.2873563218390804,0.0,2.2111567419575633,2.319879187259747,2.5342480155601117,2.8867376573088097,2.9064327485380117,2.2606805388017692,2.2670727205610928,2.536037759918357,2022
17,Asian or Asian American,0.11504999267064116,0.10998543927462333,0.10420235129940418,0.25319767441860463,0.20775193798449615,0.11833293374890115,0.1514138916788998,0.12062750865582009,0.11432889668958117,0.11845505235958113,0.12375740303325472,0.10541542106084455,0.08504349369785195,2022
