,Binary Race Variable,Coordinated Entry,Day Shelter,Emergency Shelter,Homelessness Prevention,Other,PH - Housing with Services (no disability required for entry),PH - Permanent Supportive Housing (disability required for entry),PH - Rapid Re-Housing,Safe Haven,Services Only,Street Outreach,Transitional Housing,Year,PH - Housing Only
0,Non-White,0.22677007999765725,6.83890820203461,12.770736084078594,9.166285338852672,0.01193526736829775,0.15515847578787076,0.5370870315733988,3.2821985262818814,0.01193526736829775,12.7349302819737,23.50054144817827,1.7544843031397692,2020,
1,White,0.16661377261856938,4.547336867321443,8.225031116584987,3.4582517194732327,0.012191251655017273,0.07314750993010363,0.2560162847553627,1.3654201853619343,0.024382503310034546,7.018097202738276,10.130930125319354,1.1744239094333304,2020,
2,"Black, African American, or African",0.7578894778869071,22.73668433660721,32.264437772899754,21.65398508248306,0.05413496270620764,0.10826992541241529,1.1909691795365682,9.690158324411168,0.0,31.398278369600433,34.05089154220461,5.792441009564219,2020,
3,"Non-Black, African American, or African",0.14772422026609208,4.08489582996672,8.022067439667348,3.91469183705144,0.009634188278223396,0.09313048668949282,0.27618006397573736,1.3873231120641691,0.022479772649187924,7.110030949328866,12.30928122347676,1.0565493145118325,2020,
4,Asian or Asian American,0.023500448926725804,0.8930170592155804,1.410026935603548,1.3395255888233706,0.0,0.0,0.18800359141380643,0.18800359141380643,0.0,1.5040287313104514,1.3160251398966447,0.11750224463362902,2020,
5,Non-Asian or Asian American,0.20535237288324923,5.756827538116852,10.559984734369122,5.4366170583667,0.01392219477174571,0.10789700948102926,0.34805486929364277,2.098770861840666,0.024363840850554992,9.501897931716448,15.3352975410779,1.5001164866556005,2020,
6,Native Hawaiian or Pacific Islander,0.5052596519246048,12.126231646190513,19.199866773134982,12.126231646190513,0.0,0.0,1.0105193038492095,4.547336867321443,0.0,14.147270253888932,16.168308861587352,5.052596519246047,2020,
7,Non-Native Hawaiian or Pacific Islander,0.17994156617838036,5.087161565856584,9.320363156629329,4.864522000924012,0.012199428215483414,0.09454556866999646,0.3232848477103105,1.8360139464302538,0.021348999377095973,8.435904611006782,13.510866748647882,1.2992391049489835,2020,
8,Multi-Racial,0.0,2.2891355658624946,3.5883746708114783,5.9393787654810675,0.0,0.06186852880709445,0.3712111728425667,1.4848446913702669,0.0,6.681801111166202,3.2171634979689117,0.4949482304567556,2020,
9,Non-Multi-Racial,0.1912654833783993,5.275739583187513,9.678033458947004,4.854955519755035,0.012751032225226618,0.09563274168919965,0.32515132174327877,1.8712139790520061,0.022314306394146586,8.562318139239675,14.058013028312347,1.3643604480992482,2020,
10,"American Indian, Alaska Native, or Indigenous",0.21653985082483057,8.661594032993223,12.559311347840174,3.464637613197289,0.0,0.0,1.082699254124153,2.165398508248306,0.21653985082483057,14.72470985608848,11.909691795365681,1.9488586574234752,2020,
11,"Non-American Indian, Alaska Native, or Indigenous",0.18140153831775874,5.079243072897244,9.334492717503652,4.928587558023173,0.012298409377475167,0.09531267267543256,0.3166840414699856,1.8478360089656438,0.01844761406621275,8.381365990749327,13.549772531633264,1.312855201045474,2020,
12,Non-White,2.3989887410278476,4.416048926270167,16.363251561936217,4.61894847153123,,0.01193526736829775,0.47741069473191006,5.454417187312072,0.05967633684148876,10.240459401999471,16.9838854650877,0.9786919242004155,2021,0.10741740631467975
13,White,1.74334898666747,3.376976708439784,9.358817520501592,2.9380916488591624,,0.04876500662006909,0.1706775231702418,1.4873327019121072,0.04470125606839666,5.70144202399641,11.573561571163063,0.8899613708162608,2021,0.06502000882675878
14,"Black, African American, or African",5.954845897682841,14.887114744207103,45.635773561333046,11.530747056422229,,0.05413496270620764,1.1909691795365682,14.183360229026404,0.21653985082483057,25.60583736003622,41.41324647024885,3.1939627996662514,2021,0.16240488811862294
15,"Non-Black, African American, or African",1.6699259682253889,2.9737527818782885,9.091462338550144,2.8806222951887954,,0.03853675311289358,0.19268376556446792,1.801593208027775,0.03853675311289358,5.741976213821144,11.25915470115041,0.777157854443354,2021,0.0706507140403049
16,Asian or Asian American,0.5170098763879677,0.587511223168145,1.5745300780906286,0.47000897853451606,,0.0,0.09400179570690322,0.5170098763879677,0.0,1.410026935603548,2.044539056625145,0.1410026935603548,2021,0.023500448926725804
17,Non-Asian or Asian American,2.116173605305348,4.093125262893238,12.554339135421694,3.793798075300706,,0.04524713300817356,0.27148279804904135,2.7879195030420787,0.05568877908698284,7.6606876731530775,14.562615731246012,1.0267618644162462,2021,0.08353316863047425
18,Native Hawaiian or Pacific Islander,5.052596519246047,6.063115823095257,30.315579115476286,7.073635126944466,,0.0,0.0,17.684087817361167,0.5052596519246048,16.168308861587352,22.736684336607215,1.5157789557738142,2021,0.0
19,Non-Native Hawaiian or Pacific Islander,1.8909113733999292,3.6262800370524446,11.022183392689264,3.3426433310424555,,0.03964814170032109,0.25008827841741,2.4032873584502323,0.0457478558080628,6.7981313730781325,12.888695909658226,0.9088574020535144,2021,0.07624642634677134
20,Multi-Racial,1.6085817489844558,0.9280279321064167,5.815641707866878,2.0416614506341166,,0.0,0.4949482304567556,1.7323188065986446,0.0,7.114880812815862,6.5580640535520125,0.43307970164966114,2021,0.0
21,Non-Multi-Racial,1.9254058660092195,3.7806810547796927,11.412173841577824,3.433215426642267,,0.04144085473198651,0.23589409616669246,2.5342676547637906,0.05100412890090647,6.840928788834081,13.277012304517216,0.9372008685541564,2021,0.07969395140766637
22,"American Indian, Alaska Native, or Indigenous",2.3819383590731364,7.5788947788690715,22.73668433660721,2.165398508248306,,0.0,0.6496195524744918,1.5157789557738142,0.0,10.177372988767036,22.52014448578238,0.8661594032993223,2021,0.21653985082483057
23,"Non-American Indian, Alaska Native, or Indigenous",1.9031788511642822,3.584986333534011,10.973255767052217,3.382062578805671,,0.03996983047679429,0.24289358520513454,2.5088755130049343,0.04919363750990067,6.807169590432505,12.811867968984755,0.9131568962775312,2021,0.073790456264851
24,Non-White,9.416925953586926,5.442481919943774,11.004316513570526,4.666689541004421,,0.05967633684148876,1.193526736829775,6.230209566251426,0.0716116042097865,11.362374534619459,19.872220168215758,1.0264329936736065,2022,0.11935267368297751
25,White,4.100324306637476,3.8971367790538545,6.579212143157655,2.2553815561781954,,0.008127501103344847,0.4551400617873115,1.7514764877708147,0.036573754965051816,6.030605818681877,12.000255379088667,1.1947426621916928,2022,0.14629501986020726
26,"Black, African American, or African",26.742671576866577,16.83597340163058,30.640388891713528,11.96382675807189,,0.10826992541241529,4.0059872402593655,23.49457381449412,0.05413496270620764,26.850941502278996,44.17412956826544,3.302232725078666,2022,0.43307970164966114
27,"Non-Black, African American, or African",4.187660504934437,3.5453812863862098,6.342507283163736,2.328262167237321,,0.01605698046370566,0.4431726607982762,1.6667145721326475,0.04495954529837585,6.230108419917796,12.209727944601784,1.024435353584421,2022,0.12203305152416302
28,Asian or Asian American,0.9870188549224836,0.8695166102888546,1.2220233441897417,1.2220233441897417,,0.0,0.1410026935603548,0.352506733900887,0.023500448926725804,1.5745300780906286,2.3265444437458545,0.18800359141380643,2022,0.0
29,Non-Asian or Asian American,6.111843504796367,4.796196098866397,8.663085696718769,3.1116105314851663,,0.024363840850554992,0.7169930307449041,3.264754673974369,0.048727681701109984,8.245419853566396,15.728599543379715,1.294764113772351,2022,0.16010523987507566
30,Native Hawaiian or Pacific Islander,15.157789557738143,13.136750950039724,24.252463292381027,5.557856171170652,,0.0,2.5262982596230237,2.021038607698419,0.5052596519246048,13.64201060196433,34.86291598279773,2.5262982596230237,2022,0.0
31,Non-Native Hawaiian or Pacific Islander,5.392147271243669,4.236251447826616,7.603293635300038,2.8516163453692482,,0.021348999377095973,0.6313204101512667,2.8943143441234405,0.042697998754191946,7.347105642774887,13.873799738058512,1.1436963952015702,2022,0.1402934244780593
32,Multi-Racial,6.001247294288161,1.1755020473347946,5.1350878909888396,2.165398508248306,,0.0,0.30934264403547224,2.351004094669589,0.06186852880709445,7.176749341622957,8.599725504186129,0.18560558642128336,2022,0.0
