,Sheltered,Unsheltered,Total,Year
Non-White,17.007755999824294,13.7971690777522,30.804925077576495,2020
White,9.110928736849575,11.439457802957874,20.550386539807448,2020
"Black, African American, or African",58.628164610822886,44.44480438179648,103.07296899261937,2020
"Non-Black, African American, or African",8.298247503643084,10.115897692134567,18.41414519577765,2020
Asian or Asian American,1.4570278334569997,1.2455237931164675,2.702551626573467,2020
Non-Asian or Asian American,12.547378038035822,13.636789778924923,26.184167816960745,2020
"American Indian, Alaska Native, or Indigenous",13.208930900314664,20.787825679183737,33.9967565794984,2020
"Non-American Indian, Alaska Native, or Indigenous",11.087016053793864,11.914084084429067,23.001100138222935,2020
Native Hawaiian or Pacific Islander,17.684087817361167,33.852396678948516,51.53648449630968,2020
Non-Native Hawaiian or Pacific Islander,11.077080819658942,11.906641938311813,22.983722757970753,2020
Non-White,17.330008218768334,0.0,17.330008218768334,2021
White,10.935552734550493,0.0,10.935552734550493,2021
"Black, African American, or African",56.51690106528078,0.0,56.51690106528078,2021
"Non-Black, African American, or African",9.952116491404768,0.0,9.952116491404768,2021
Asian or Asian American,2.138540852332048,0.0,2.138540852332048,2021
Non-Asian or Asian American,14.103183303778403,0.0,14.103183303778403,2021
"American Indian, Alaska Native, or Indigenous",17.323188065986447,0.0,17.323188065986447,2021
"Non-American Indian, Alaska Native, or Indigenous",12.492109325170402,0.0,12.492109325170402,2021
Native Hawaiian or Pacific Islander,23.24194398853182,0.0,23.24194398853182,2021
Non-Native Hawaiian or Pacific Islander,12.495264349708886,0.0,12.495264349708886,2021
"American Indian, Alaska Native, or Indigenous",22.52014448578238,33.9967565794984,56.51690106528078,2022
"Non-American Indian, Alaska Native, or Indigenous",12.965598086203194,12.141604657912358,25.107202744115554,2022
Asian or Asian American,1.645031424870806,2.2795435458924027,3.9245749707632087,2022
Non-Asian or Asian American,14.795812493672752,13.953519709982139,28.74933220365489,2022
"Black, African American, or African",61.5514525969581,50.2913803540669,111.84283295102499,2022
"Non-Black, African American, or African",10.225085159287763,10.202605386638577,20.42769054592634,2022
Native Hawaiian or Pacific Islander,52.5470038001589,26.27350190007945,78.82050570023833,2022
Non-Native Hawaiian or Pacific Islander,12.861247196173391,12.36412049639244,25.22536769256583,2022
Non-White,18.857722441910447,15.70681185667984,34.56453429859029,2022
White,11.138740262134114,11.337864039166062,22.476604301300178,2022
"American Indian, Alaska Native, or Indigenous",24.902082844855517,37.67793404352052,62.58001688837604,2023
"Non-American Indian, Alaska Native, or Indigenous",15.305370470267846,15.363787914810853,30.6691583850787,2023
Asian or Asian American,2.2090421991122255,1.4805282823837256,3.689570481495951,2023
Non-Asian or Asian American,17.3992629159892,17.778642723519273,35.177905639508474,2023
"Black, African American, or African",71.5664206976065,52.29437397419659,123.86079467180309,2023
"Non-Black, African American, or African",12.11017466572681,13.503920569976462,25.61409523570327,2023
Native Hawaiian or Pacific Islander,30.315579115476286,48.50492658476205,78.82050570023833,2023
Non-Native Hawaiian or Pacific Islander,15.349930552132006,15.478024548394583,30.827955100526587,2023
Non-White,26.185976606045266,25.13567307763506,51.321649683680334,2023
White,11.780812849298357,12.45539544087598,24.236208290174336,2023
