,Binary Race Variable,Coordinated Entry,Day Shelter,Emergency Shelter,Homelessness Prevention,PH - Housing Only,PH - Housing with Services (no disability required for entry),PH - Permanent Supportive Housing (disability required for entry),PH - Rapid Re-Housing,Safe Haven,Services Only,Street Outreach,Transitional Housing,Year
0,Non-White,1.0264329936736065,0.03580580210489325,10.93270490936074,8.748550980962252,0.01193526736829775,0.15515847578787076,0.7041807747295672,8.247269751493747,0.0716116042097865,15.038436884055166,3.2821985262818814,3.616386012594218,2020
1,White,0.507968818959053,0.0040637505516724235,5.742079529513135,3.572036734920061,0.0,0.06502000882675878,0.4266938079256046,3.1697254303044904,0.06502000882675878,6.607658397019361,1.686456478944056,1.857134002114298,2020
2,"Black, African American, or African",3.4105026504910816,0.10826992541241529,36.48696486398396,25.33516254650518,0.05413496270620764,0.4872146643558688,2.273668433660721,28.691530234290052,0.2706748135310382,48.18011680852481,11.151802317478776,12.18036660889672,2020
3,"Non-Black, African American, or African",0.47528662172568753,0.006422792185482264,5.3148605334865735,3.6738371300958548,0.0,0.06422792185482264,0.3917903233144181,3.0219237232694054,0.054593733576599246,6.409946601111299,1.554315708886708,1.7180969096165055,2020
4,Asian or Asian American,0.0705013467801774,0.0,0.7285139167284999,1.0340197527759354,0.0,0.0,0.023500448926725804,0.7990152635086772,0.023500448926725804,1.0105193038492093,0.25850493819398385,0.3055058360474354,2020
5,Non-Asian or Asian American,0.723954128130777,0.01392219477174571,7.99830089636791,5.457500350524318,0.0034805486929364274,0.10093591209515639,0.5673294369486377,5.001548471749647,0.07309152255166497,9.895199934018263,2.363292562503834,2.5999698736235115,2020
6,"American Indian, Alaska Native, or Indigenous",1.082699254124153,0.0,11.909691795365681,4.763876718146273,0.0,0.0,0.8661594032993223,5.196956419795934,0.0,11.476612093716023,2.3819383590731364,1.2992391049489835,2020
7,"Non-American Indian, Alaska Native, or Indigenous",0.6333680829399712,0.012298409377475167,6.991645731094633,4.888617727546379,0.003074602344368792,0.08916346798669496,0.4919363750990067,4.448949592301641,0.06764125157611342,8.710348441596787,2.0876549918264096,2.3182501676540688,2020
8,Native Hawaiian or Pacific Islander,1.5157789557738142,0.5052596519246048,16.673568513511956,10.6104526904167,0.0,1.0105193038492095,1.0105193038492095,5.557856171170652,0.0,14.652529905813537,1.5157789557738142,4.042077215396838,2020
9,Non-Native Hawaiian or Pacific Islander,0.6343702672051375,0.00914957116161256,7.002471795687479,4.852322572708529,0.0030498570538708535,0.08234614045451304,0.4940768427270783,4.452791298651446,0.06709685518515879,8.713441602909029,2.0952517960092765,2.293492504510882,2020
10,Multi-Racial,0.6186852880709445,0.0,5.506299063831406,4.578271131724989,0.0,0.1237370576141889,0.55681675926385,5.1350878909888396,0.0,8.537856975379034,2.1035299794412112,1.8560558642128333,2020
