,index,Likely Metric,Year,Race
0,Sheltered,0.535692582663092,2020,White
1,Unsheltered,0.8291163019379018,2020,White
2,Sheltered,7.065126050420168,2020,"Black, African American, or African"
3,Unsheltered,4.393560090702947,2020,"Black, African American, or African"
4,Sheltered,0.11612209571116773,2020,Asian or Asian American
5,Unsheltered,0.09133555721753307,2020,Asian or Asian American
6,Sheltered,1.1913873702559223,2020,"American Indian, Alaska Native, or Indigenous"
7,Unsheltered,1.744811059907834,2020,"American Indian, Alaska Native, or Indigenous"
8,Sheltered,1.5964574155653448,2020,Native Hawaiian or Pacific Islander
9,Unsheltered,2.8431523224043715,2020,Native Hawaiian or Pacific Islander
10,Sheltered,0.631018323621297,2021,White
11,Unsheltered,,2021,White
12,Sheltered,5.678882588853546,2021,"Black, African American, or African"
13,Unsheltered,,2021,"Black, African American, or African"
14,Sheltered,0.1516353298591183,2021,Asian or Asian American
15,Unsheltered,,2021,Asian or Asian American
16,Sheltered,1.3867304243873277,2021,"American Indian, Alaska Native, or Indigenous"
17,Unsheltered,,2021,"American Indian, Alaska Native, or Indigenous"
18,Sheltered,1.8600602066552765,2021,Native Hawaiian or Pacific Islander
19,Unsheltered,,2021,Native Hawaiian or Pacific Islander
20,Sheltered,1.7369152071547138,2022,"American Indian, Alaska Native, or Indigenous"
21,Unsheltered,2.800021705314184,2022,"American Indian, Alaska Native, or Indigenous"
22,Sheltered,0.11118222980821658,2022,Asian or Asian American
23,Unsheltered,0.16336692055278723,2022,Asian or Asian American
24,Sheltered,6.019651830581479,2022,"Black, African American, or African"
25,Unsheltered,4.92926840235622,2022,"Black, African American, or African"
26,Sheltered,4.0856849260927985,2022,Native Hawaiian or Pacific Islander
27,Unsheltered,2.124979444170367,2022,Native Hawaiian or Pacific Islander
28,Sheltered,0.5906726168256015,2022,White
29,Unsheltered,0.7218437543290659,2022,White
